,criterion,nEstimators,maxDepth,accuracy
121,entropy,120.0,14.0,0.8089887640449438
122,entropy,120.0,15.0,0.7955056179775282
123,entropy,120.0,16.0,0.7921348314606742
124,entropy,120.0,17.0,0.8078651685393259
125,entropy,120.0,18.0,0.8078651685393259
126,entropy,120.0,19.0,0.802247191011236
127,entropy,120.0,20.0,0.8146067415730338
128,entropy,130.0,5.0,0.8179775280898877
129,entropy,130.0,6.0,0.8078651685393259
130,entropy,130.0,7.0,0.8
131,entropy,130.0,8.0,0.8157303370786517
132,entropy,130.0,9.0,0.7921348314606741
133,entropy,130.0,10.0,0.8101123595505619
134,entropy,130.0,11.0,0.7932584269662921
135,entropy,130.0,12.0,0.8011235955056181
136,entropy,130.0,13.0,0.8213483146067414
137,entropy,130.0,14.0,0.7741573033707865
138,entropy,130.0,15.0,0.7831460674157305
139,entropy,130.0,16.0,0.8
140,entropy,130.0,17.0,0.8112359550561796
141,entropy,130.0,18.0,0.7955056179775282
142,entropy,130.0,19.0,0.7977528089887642
143,entropy,130.0,20.0,0.80561797752809
144,entropy,140.0,5.0,0.8067415730337079
145,entropy,140.0,6.0,0.8033707865168539
146,entropy,140.0,7.0,0.8033707865168539
147,entropy,140.0,8.0,0.8179775280898877
148,entropy,140.0,9.0,0.8112359550561796
149,entropy,140.0,10.0,0.7977528089887641
150,entropy,140.0,11.0,0.8078651685393258
151,entropy,140.0,12.0,0.7808988764044944
152,entropy,140.0,13.0,0.7932584269662921
153,entropy,140.0,14.0,0.7932584269662921
154,entropy,140.0,15.0,0.8033707865168539
155,entropy,140.0,16.0,0.7831460674157305
156,entropy,140.0,17.0,0.79438202247191
157,entropy,140.0,18.0,0.7752808988764044
158,entropy,140.0,19.0,0.7842696629213484
159,entropy,140.0,20.0,0.8123595505617978
160,entropy,150.0,5.0,0.8247191011235955
161,entropy,150.0,6.0,0.8191011235955058
162,entropy,150.0,7.0,0.8179775280898877
163,entropy,150.0,8.0,0.8179775280898877
164,entropy,150.0,9.0,0.8078651685393258
165,entropy,150.0,10.0,0.79438202247191
166,entropy,150.0,11.0,0.7966292134831461
167,entropy,150.0,12.0,0.7887640449438202
168,entropy,150.0,13.0,0.8112359550561798
169,entropy,150.0,14.0,0.7696629213483146
170,entropy,150.0,15.0,0.7808988764044944
171,entropy,150.0,16.0,0.8067415730337079
172,entropy,150.0,17.0,0.7842696629213484
173,entropy,150.0,18.0,0.795505617977528
174,entropy,150.0,19.0,0.8
175,entropy,150.0,20.0,0.797752808988764
176,entropy,160.0,5.0,0.8123595505617978
177,entropy,160.0,6.0,0.8157303370786517
178,entropy,160.0,7.0,0.8022471910112359
179,entropy,160.0,8.0,0.8157303370786517
180,entropy,160.0,9.0,0.7887640449438202
181,entropy,160.0,10.0,0.7865168539325843
182,entropy,160.0,11.0,0.8067415730337079
183,entropy,160.0,12.0,0.8089887640449438
184,entropy,160.0,13.0,0.7988764044943819
185,entropy,160.0,14.0,0.8033707865168539
186,entropy,160.0,15.0,0.7955056179775281
187,entropy,160.0,16.0,0.8146067415730338
188,entropy,160.0,17.0,0.8157303370786517
189,entropy,160.0,18.0,0.7853932584269663
190,entropy,160.0,19.0,0.804494382022472
191,entropy,160.0,20.0,0.8089887640449438
192,entropy,170.0,5.0,0.7988764044943821
193,entropy,170.0,6.0,0.802247191011236
194,entropy,170.0,7.0,0.804494382022472
195,entropy,170.0,8.0,0.7910112359550563
